company,year,tokens
1&1,2014,67260
1&1,2015,77254
1&1,2016,115398
1&1,2017,97892
1&1,2018,116131
1&1,2019,106178
1&1,2020,105826
1&1,2021,116266
1&1,2022,125165
1&1,2023,128840
1.sap_$240.94 b_information tech,2014,192410
1.sap_$240.94 b_information tech,2015,191967
1.sap_$240.94 b_information tech,2016,222105
1.sap_$240.94 b_information tech,2017,226086
1.sap_$240.94 b_information tech,2018,254326
1.sap_$240.94 b_information tech,2019,251877
1.sap_$240.94 b_information tech,2020,254591
1.sap_$240.94 b_information tech,2021,222032
1.sap_$240.94 b_information tech,2022,215711
1.sap_$240.94 b_information tech,2023,222691
11.volkswagen_$52.66 b_consumer discretionary,2014,240225
11.volkswagen_$52.66 b_consumer discretionary,2015,253413
11.volkswagen_$52.66 b_consumer discretionary,2016,261038
11.volkswagen_$52.66 b_consumer discretionary,2017,240765
11.volkswagen_$52.66 b_consumer discretionary,2018,252105
11.volkswagen_$52.66 b_consumer discretionary,2019,250215
11.volkswagen_$52.66 b_consumer discretionary,2020,264772
11.volkswagen_$52.66 b_consumer discretionary,2021,293081
11.volkswagen_$52.66 b_consumer discretionary,2022,314713
11.volkswagen_$52.66 b_consumer discretionary,2023,310133
12.dhl group_$49.82 b_industrials,2014,168741
12.dhl group_$49.82 b_industrials,2015,157490
12.dhl group_$49.82 b_industrials,2016,150188
12.dhl group_$49.82 b_industrials,2017,148956
12.dhl group_$49.82 b_industrials,2018,152997
12.dhl group_$49.82 b_industrials,2019,147918
12.dhl group_$49.82 b_industrials,2020,155438
12.dhl group_$49.82 b_industrials,2021,139716
12.dhl group_$49.82 b_industrials,2022,154766
12.dhl group_$49.82 b_industrials,2023,155877
13.adidas_$244.57_consumer discretionary,2014,180368
13.adidas_$244.57_consumer discretionary,2015,180894
13.adidas_$244.57_consumer discretionary,2016,179666
13.adidas_$244.57_consumer discretionary,2017,227735
13.adidas_$244.57_consumer discretionary,2018,222024
13.adidas_$244.57_consumer discretionary,2019,217698
13.adidas_$244.57_consumer discretionary,2020,206625
13.adidas_$244.57_consumer discretionary,2021,228617
13.adidas_$244.57_consumer discretionary,2022,208483
13.adidas_$244.57_consumer discretionary,2023,206765
14.basf_$42.93 b_industrials,2014,209489
14.basf_$42.93 b_industrials,2015,209292
14.basf_$42.93 b_industrials,2016,209705
14.basf_$42.93 b_industrials,2017,218979
14.basf_$42.93 b_industrials,2018,246205
14.basf_$42.93 b_industrials,2019,252807
14.basf_$42.93 b_industrials,2020,277332
14.basf_$42.93 b_industrials,2021,243656
14.basf_$42.93 b_industrials,2022,249758
14.basf_$42.93 b_industrials,2023,264280
15.deutsche börse_$41.91 b_financial service,2014,211841
15.deutsche börse_$41.91 b_financial service,2015,208307
15.deutsche börse_$41.91 b_financial service,2016,196199
15.deutsche börse_$41.91 b_financial service,2017,213821
15.deutsche börse_$41.91 b_financial service,2018,241164
15.deutsche börse_$41.91 b_financial service,2019,183353
15.deutsche börse_$41.91 b_financial service,2020,187035
15.deutsche börse_$41.91 b_financial service,2021,195141
15.deutsche börse_$41.91 b_financial service,2022,187066
15.deutsche börse_$41.91 b_financial service,2023,219356
16.infineon_$41.66 b_industrials,2014,200519
16.infineon_$41.66 b_industrials,2015,208362
16.infineon_$41.66 b_industrials,2016,140972
16.infineon_$41.66 b_industrials,2017,144387
16.infineon_$41.66 b_industrials,2018,139310
16.infineon_$41.66 b_industrials,2019,158893
16.infineon_$41.66 b_industrials,2020,184557
16.infineon_$41.66 b_industrials,2021,180986
16.infineon_$41.66 b_industrials,2022,122999
16.infineon_$41.66 b_industrials,2023,128006
17.e.on_$38.46 b_energy,2014,190629
17.e.on_$38.46 b_energy,2015,189446
17.e.on_$38.46 b_energy,2016,177044
17.e.on_$38.46 b_energy,2017,173289
17.e.on_$38.46 b_energy,2018,188817
17.e.on_$38.46 b_energy,2019,210728
17.e.on_$38.46 b_energy,2020,224797
17.e.on_$38.46 b_energy,2021,262965
17.e.on_$38.46 b_energy,2022,307226
17.e.on_$38.46 b_energy,2023,282875
18.henkel_$35.64 b_consumer staplers,2014,159452
18.henkel_$35.64 b_consumer staplers,2015,163043
18.henkel_$35.64 b_consumer staplers,2016,158427
18.henkel_$35.64 b_consumer staplers,2017,150228
18.henkel_$35.64 b_consumer staplers,2018,180024
18.henkel_$35.64 b_consumer staplers,2019,192204
18.henkel_$35.64 b_consumer staplers,2020,188718
18.henkel_$35.64 b_consumer staplers,2021,167851
18.henkel_$35.64 b_consumer staplers,2022,183570
18.henkel_$35.64 b_consumer staplers,2023,189201
19.hannover rück_$33.67 b_financial service,2014,193932
19.hannover rück_$33.67 b_financial service,2015,193127
19.hannover rück_$33.67 b_financial service,2016,197650
19.hannover rück_$33.67 b_financial service,2017,212240
19.hannover rück_$33.67 b_financial service,2018,226220
19.hannover rück_$33.67 b_financial service,2019,224180
19.hannover rück_$33.67 b_financial service,2020,223550
19.hannover rück_$33.67 b_financial service,2021,231128
19.hannover rück_$33.67 b_financial service,2022,233992
19.hannover rück_$33.67 b_financial service,2023,198887
2.siemens_$135.42 b_industrials,2014,261469
2.siemens_$135.42 b_industrials,2015,135125
2.siemens_$135.42 b_industrials,2016,134453
2.siemens_$135.42 b_industrials,2017,154834
2.siemens_$135.42 b_industrials,2018,154834
2.siemens_$135.42 b_industrials,2019,169725
2.siemens_$135.42 b_industrials,2020,172899
2.siemens_$135.42 b_industrials,2021,186317
2.siemens_$135.42 b_industrials,2022,191804
2.siemens_$135.42 b_industrials,2023,195099
20.beiersdorf_$32.13 b_consumer staplers,2014,81063
20.beiersdorf_$32.13 b_consumer staplers,2015,80941
20.beiersdorf_$32.13 b_consumer staplers,2016,85514
20.beiersdorf_$32.13 b_consumer staplers,2017,93591
20.beiersdorf_$32.13 b_consumer staplers,2018,101050
20.beiersdorf_$32.13 b_consumer staplers,2019,106517
20.beiersdorf_$32.13 b_consumer staplers,2020,152260
20.beiersdorf_$32.13 b_consumer staplers,2021,176245
20.beiersdorf_$32.13 b_consumer staplers,2022,192030
20.beiersdorf_$32.13 b_consumer staplers,2023,191046
21.bayer,2014,263052
21.bayer,2015,254337
21.bayer,2016,237220
21.bayer,2017,245049
21.bayer,2018,210922
21.bayer,2019,183416
21.bayer,2020,199610
21.bayer,2021,202603
21.bayer,2022,211875
21.bayer,2023,210893
22.airbus,2014,109060
22.airbus,2015,90980
22.airbus,2016,88249
22.airbus,2017,267825
22.airbus,2018,270524
22.airbus,2019,275452
22.airbus,2020,292368
22.airbus,2021,212146
22.airbus,2022,344479
22.airbus,2023,373527
23.brenntag,2014,138421
23.brenntag,2015,166912
23.brenntag,2016,171549
23.brenntag,2017,171150
23.brenntag,2018,161133
23.brenntag,2019,174773
23.brenntag,2020,184685
23.brenntag,2021,190819
23.brenntag,2022,221663
23.brenntag,2023,230565
24.commerzbank,2014,279829
24.commerzbank,2015,285610
24.commerzbank,2016,271371
24.commerzbank,2017,249265
24.commerzbank,2018,279785
24.commerzbank,2019,261780
24.commerzbank,2020,292316
24.commerzbank,2021,272228
24.commerzbank,2022,259879
24.commerzbank,2023,346118
25.continental,2014,200342
25.continental,2015,196395
25.continental,2016,196270
25.continental,2017,186726
25.continental,2018,198830
25.continental,2019,195283
25.continental,2020,207045
25.continental,2021,200522
25.continental,2022,201258
25.continental,2023,202527
26.deutschebank,2014,513601
26.deutschebank,2015,400425
26.deutschebank,2016,421883
26.deutschebank,2017,376900
26.deutschebank,2018,403148
26.deutschebank,2019,428380
26.deutschebank,2020,448954
26.deutschebank,2021,449747
26.deutschebank,2022,454723
26.deutschebank,2023,449596
27.fresenius,2014,170426
27.fresenius,2015,164077
27.fresenius,2016,171924
27.fresenius,2017,206112
27.fresenius,2018,228501
27.fresenius,2019,260602
27.fresenius,2020,300367
27.fresenius,2021,350951
27.fresenius,2022,367412
27.fresenius,2023,327950
28.freseniusmedicalcare,2014,201802
28.freseniusmedicalcare,2015,172052
28.freseniusmedicalcare,2016,185054
28.freseniusmedicalcare,2017,221434
28.freseniusmedicalcare,2018,237733
28.freseniusmedicalcare,2019,256375
28.freseniusmedicalcare,2020,254339
28.freseniusmedicalcare,2021,277895
28.freseniusmedicalcare,2022,280983
28.freseniusmedicalcare,2023,293481
29.heidelbergmaterials,2014,228073
29.heidelbergmaterials,2015,217453
29.heidelbergmaterials,2016,226766
29.heidelbergmaterials,2017,223545
29.heidelbergmaterials,2018,228438
29.heidelbergmaterials,2019,205724
29.heidelbergmaterials,2020,214299
29.heidelbergmaterials,2021,220881
29.heidelbergmaterials,2022,292229
29.heidelbergmaterials,2023,311127
3.deutsche telekom_$130.56 b_communication services,2014,291536
3.deutsche telekom_$130.56 b_communication services,2015,280179
3.deutsche telekom_$130.56 b_communication services,2016,262341
3.deutsche telekom_$130.56 b_communication services,2017,282586
3.deutsche telekom_$130.56 b_communication services,2018,299654
3.deutsche telekom_$130.56 b_communication services,2019,270781
3.deutsche telekom_$130.56 b_communication services,2020,287061
3.deutsche telekom_$130.56 b_communication services,2021,298262
3.deutsche telekom_$130.56 b_communication services,2022,310818
3.deutsche telekom_$130.56 b_communication services,2023,311686
30.qiagen,2014,127171
30.qiagen,2015,134875
30.qiagen,2016,134895
30.qiagen,2017,122396
30.qiagen,2018,150502
30.qiagen,2019,130172
30.qiagen,2020,135026
30.qiagen,2021,152165
30.qiagen,2022,157264
30.qiagen,2023,185094
31.rheinmetall,2014,130266
31.rheinmetall,2015,116659
31.rheinmetall,2016,121348
31.rheinmetall,2017,142034
31.rheinmetall,2018,144237
31.rheinmetall,2019,154781
31.rheinmetall,2020,168530
31.rheinmetall,2021,195133
31.rheinmetall,2022,210428
31.rheinmetall,2023,214272
32.rwe,2014,178546
32.rwe,2015,156155
32.rwe,2016,167706
32.rwe,2017,168331
32.rwe,2018,171142
32.rwe,2019,163977
32.rwe,2020,169080
32.rwe,2021,164919
32.rwe,2022,196801
32.rwe,2023,213448
33.symrise,2014,109166
33.symrise,2015,110967
33.symrise,2016,120280
33.symrise,2017,121744
33.symrise,2018,126717
33.symrise,2019,119792
33.symrise,2020,130117
33.symrise,2021,122994
33.symrise,2022,137741
33.symrise,2023,140626
34.vonovia,2015,160731
34.vonovia,2016,169082
34.vonovia,2017,187953
34.vonovia,2018,203798
34.vonovia,2019,208782
34.vonovia,2020,215501
34.vonovia,2021,231659
34.vonovia,2022,231996
34.vonovia,2023,234086
35.zalando,2014,106396
35.zalando,2015,112827
35.zalando,2016,112881
35.zalando,2017,95854
35.zalando,2018,128878
35.zalando,2019,133291
35.zalando,2020,124191
35.zalando,2021,143201
35.zalando,2022,159147
35.zalando,2023,161505
36.bmw_$55.03 b_industrials,2014,190692
36.bmw_$55.03 b_industrials,2015,177813
36.bmw_$55.03 b_industrials,2016,159573
36.bmw_$55.03 b_industrials,2017,174252
36.bmw_$55.03 b_industrials,2018,181779
36.bmw_$55.03 b_industrials,2019,184165
36.bmw_$55.03 b_industrials,2020,245702
36.bmw_$55.03 b_industrials,2021,286413
36.bmw_$55.03 b_industrials,2022,281419
36.bmw_$55.03 b_industrials,2023,280421
4.allianz_$106.68 b_financials,2014,260826
4.allianz_$106.68 b_financials,2015,244498
4.allianz_$106.68 b_financials,2016,166946
4.allianz_$106.68 b_financials,2017,175486
4.allianz_$106.68 b_financials,2018,190133
4.allianz_$106.68 b_financials,2019,193157
4.allianz_$106.68 b_financials,2020,207334
4.allianz_$106.68 b_financials,2021,214480
4.allianz_$106.68 b_financials,2022,234414
4.allianz_$106.68 b_financials,2023,293009
5.merck_$78.90 b_health care,2014,192822
5.merck_$78.90 b_health care,2015,196778
5.merck_$78.90 b_health care,2016,197160
5.merck_$78.90 b_health care,2017,217833
5.merck_$78.90 b_health care,2018,234073
5.merck_$78.90 b_health care,2019,207442
5.merck_$78.90 b_health care,2020,223548
5.merck_$78.90 b_health care,2021,233337
5.merck_$78.90 b_health care,2022,240287
5.merck_$78.90 b_health care,2023,242887
6.mercedes-benz_$68.14 b_consumer discretionary,2014,239527
6.mercedes-benz_$68.14 b_consumer discretionary,2015,249674
6.mercedes-benz_$68.14 b_consumer discretionary,2016,246426
6.mercedes-benz_$68.14 b_consumer discretionary,2017,283953
6.mercedes-benz_$68.14 b_consumer discretionary,2018,295576
6.mercedes-benz_$68.14 b_consumer discretionary,2019,294133
6.mercedes-benz_$68.14 b_consumer discretionary,2020,247445
6.mercedes-benz_$68.14 b_consumer discretionary,2021,234426
6.mercedes-benz_$68.14 b_consumer discretionary,2022,235714
6.mercedes-benz_$68.14 b_consumer discretionary,2023,248447
7.porsche_$67.40 b_consumer discretionary,2014,58251
7.porsche_$67.40 b_consumer discretionary,2015,57222
7.porsche_$67.40 b_consumer discretionary,2016,58995
7.porsche_$67.40 b_consumer discretionary,2017,76832
7.porsche_$67.40 b_consumer discretionary,2018,99679
7.porsche_$67.40 b_consumer discretionary,2019,111449
7.porsche_$67.40 b_consumer discretionary,2020,124198
7.porsche_$67.40 b_consumer discretionary,2021,149511
7.porsche_$67.40 b_consumer discretionary,2022,279308
7.porsche_$67.40 b_consumer discretionary,2023,291499
8.munich re_$63.39_financials,2014,213744
8.munich re_$63.39_financials,2015,206538
8.munich re_$63.39_financials,2016,156383
8.munich re_$63.39_financials,2017,163487
8.munich re_$63.39_financials,2018,159009
8.munich re_$63.39_financials,2019,166470
8.munich re_$63.39_financials,2020,186621
8.munich re_$63.39_financials,2021,190549
8.munich re_$63.39_financials,2022,213854
8.munich re_$63.39_financials,2023,268657
9.siemens healthineers_$58.91 b_health care,2014,41654
9.siemens healthineers_$58.91 b_health care,2015,41654
9.siemens healthineers_$58.91 b_health care,2016,41654
9.siemens healthineers_$58.91 b_health care,2017,17344
9.siemens healthineers_$58.91 b_health care,2018,17344
9.siemens healthineers_$58.91 b_health care,2019,19090
9.siemens healthineers_$58.91 b_health care,2020,116457
9.siemens healthineers_$58.91 b_health care,2021,116334
